,group1,group2,meandiff,p-adj,lower,upper,reject
0,control,inter,-0.1546,0.0021,-0.247,-0.0622,True
1,control,intra,-0.0297,0.6757,-0.1221,0.0627,False
2,inter,intra,0.1249,0.0094,0.0324,0.2173,True
