,group1,group2,meandiff,p-adj,lower,upper,reject
0,control,inter,-0.1368,0.3777,-0.4,0.1263,False
1,control,intra,-0.2298,0.0898,-0.4929,0.0334,False
2,inter,intra,-0.0929,0.6252,-0.3561,0.1702,False
