,group1,group2,meandiff,p-adj,lower,upper,reject
0,control,inter,-0.0368,0.5898,-0.1347,0.0612,False
1,control,intra,0.0506,0.3825,-0.0474,0.1485,False
2,inter,intra,0.0873,0.0825,-0.0106,0.1853,False
