,Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,ng2,eps
0,roving_type,0.0347163970326576,2,8,0.0173581985163288,32.54097257470322,0.00014358846602213272,0.001153880252039949,0.3931881175867332,0.6985322859229728
1,talker,0.005696857204036482,1,4,0.005696857204036482,7.716494540909971,0.04992777934727309,0.04992777934727309,0.09610879978609464,1.0
2,roving_type * talker,0.00865668925720945,2,8,0.004328344628604725,16.32829756507038,0.001499118377630024,0.00824124530004113,0.13909698561642211,0.633755447230973
