,Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,ng2,eps
0,roving_type,0.00028509969516910287,2,8,0.00014254984758455143,0.16731306953148764,0.848819705104532,0.8338521623965081,0.003682559771803727,0.9247208076743445
1,talker,0.05097008185411288,1,4,0.05097008185411288,12.017339902164371,0.02566286188540505,0.02566286188540505,0.39788087920306436,1.0
2,roving_type * talker,0.021521306774262797,2,8,0.010760653387131398,16.377244752569467,0.001484766355640379,0.009912949328101332,0.2181469290368912,0.5935552146066702
