,group1,group2,meandiff,p-adj,lower,upper,reject
0,1,2,0.0848,0.2242,-0.0311,0.2007,False
1,1,3,0.0482,0.7259,-0.0677,0.1641,False
2,1,4,0.108,0.0754,-0.0079,0.2239,False
3,1,5,0.1755,0.0017,0.0596,0.2914,True
4,2,3,-0.0365,0.8765,-0.1525,0.0794,False
5,2,4,0.0232,0.9736,-0.0927,0.1391,False
6,2,5,0.0907,0.1729,-0.0252,0.2066,False
7,3,4,0.0597,0.5486,-0.0562,0.1757,False
8,3,5,0.1273,0.0271,0.0113,0.2432,True
9,4,5,0.0675,0.432,-0.0484,0.1834,False
