,group1,group2,meandiff,p-adj,lower,upper,reject
0,1,2,0.0587,0.5292,-0.0528,0.1703,False
1,1,3,0.0467,0.7218,-0.0649,0.1583,False
2,1,4,0.0642,0.4435,-0.0474,0.1758,False
3,1,5,0.1344,0.0135,0.0229,0.246,True
4,2,3,-0.012,0.9975,-0.1236,0.0995,False
5,2,4,0.0055,0.9999,-0.1061,0.1171,False
6,2,5,0.0757,0.2878,-0.0358,0.1873,False
7,3,4,0.0175,0.9892,-0.094,0.1291,False
8,3,5,0.0877,0.1695,-0.0238,0.1993,False
9,4,5,0.0702,0.3573,-0.0413,0.1818,False
