,Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,ng2,eps
0,roving_type,0.4940913500514056,2,8,0.2470456750257028,19.0512003323674,0.0009067045288117966,0.0016395071180897287,0.2170678480433406,0.8836266742977481
1,talker,1.55656170302541,1,4,1.55656170302541,13.332133209728491,0.021746131872001695,0.021746131872001695,0.4662210658595555,1.0
2,roving_type * talker,0.03794280318880916,2,8,0.01897140159440458,1.4193396976835224,0.2967935559575397,0.3005862620195894,0.02084702478484924,0.593091756106936
