,A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,talker
0,control,inter,0.12130567047826739,0.2394517882246067,-0.1181461177463393,0.02882564396752847,-4.098646256764589,0.0038949023518350945,-2.2667451927455757,1.0
1,control,intra,0.12130567047826739,0.20685092028037516,-0.08554524980210777,0.02882564396752847,-2.9676787064487735,0.02937141474137217,-2.252887268999751,1.0
2,inter,intra,0.2394517882246067,0.20685092028037516,0.03260086794423153,0.02882564396752847,1.1309675503158154,0.5142767717397713,0.552608583773447,1.0
0,control,inter,0.1968804048561017,0.244525877056264,-0.0476454722001623,0.03090344885660993,-1.5417525862965753,0.3071838281848649,-0.8621474337486282,2.0
1,control,intra,0.1968804048561017,0.2088835862014246,-0.01200318134532291,0.03090344885660993,-0.3884091190280063,0.9207440969896965,-0.23237713406283214,2.0
2,inter,intra,0.244525877056264,0.2088835862014246,0.03564229085483939,0.03090344885660993,1.153343467268569,0.5015600177738765,0.6445824707838304,2.0
