,Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,ng2,eps
0,roving_type,0.028489070990953755,2,8,0.014244535495476877,28.563267220395378,0.00022768167237829007,0.0021655154862702986,0.3498956470252602,0.6520153122780183
1,talker,0.035236000227430314,1,4,0.035236000227430314,14.323381607456968,0.019358397775948236,0.019358397775948236,0.39964363563886535,1.0
2,roving_type * talker,0.0002536184173574235,2,8,0.00012680920867871176,0.1546883689709748,0.8591839361453504,0.7328978887137897,0.0047685031980298585,0.5437464061037128
