,A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges
0,control,inter,0.7337810901801766,0.6584049416335379,0.07537614854663865,0.025592558135522022,2.945236976604456,0.01747250549657975,1.2013411684889446
1,control,intra,0.7337810901801766,0.692601909871607,0.041179180308569596,0.025592558135522022,1.6090294721813532,0.2591848550718131,0.7013699067155437
2,inter,intra,0.6584049416335379,0.692601909871607,-0.03419696823806906,0.025592558135522022,-1.3362075044231028,0.3879990083899153,-0.5928894206351059
