,A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,talker
0,control,inter,0.12130567,0.239451788,-0.118146118,0.028825644,-4.098646257,0.003894902,-2.266745193,Female
1,control,intra,0.12130567,0.20685092,-0.08554525,0.028825644,-2.967678706,0.029371415,-2.252887269,Female
2,inter,intra,0.239451788,0.20685092,0.032600868,0.028825644,1.13096755,0.514276772,0.552608584,Female
0,control,inter,0.196880405,0.244525877,-0.047645472,0.030903449,-1.541752586,0.307183828,-0.862147434,Male
1,control,intra,0.196880405,0.208883586,-0.012003181,0.030903449,-0.388409119,0.920744097,-0.232377134,Male
2,inter,intra,0.244525877,0.208883586,0.035642291,0.030903449,1.153343467,0.501560018,0.644582471,Male
