,,,kw_stat,p_value,effect_size
2.0,realRelReleaseTimes,0,2.7119346993279483,0.2576978898733809,0.00013664773499576742
2.0,realRelReleaseTimes,1,,,
2.0,realRelReleaseTimes,2,,,
2.0,realRelReleaseTimes,3,,,
2.0,realRelReleaseTimes,4,,,
1.0,realRelReleaseTimes,0,21.031167173428912,2.7110658990820185e-05,0.004031172881471915
1.0,realRelReleaseTimes,1,,,
1.0,realRelReleaseTimes,2,,,
1.0,realRelReleaseTimes,3,,,
1.0,realRelReleaseTimes,4,,,
