,Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,ng2,eps
0,roving_type,0.12066813194349421,2,8,0.060334065971747106,9.45086168304823,0.007820590356467753,0.01847997963252568,0.18176192947913564,0.7206323180575831
1,talker,0.10033020316662744,1,4,0.10033020316662744,8.447470298424113,0.04383355449179266,0.04383355449179266,0.15590306929509917,1.0
2,roving_type * talker,0.21609078264169945,2,8,0.10804539132084973,193.3615673023823,1.6872895777609368e-07,6.487221266681914e-06,0.28459106218355357,0.7313089918224102
