,group1,group2,meandiff,p-adj,lower,upper,reject
0,1,2,-0.0405,0.6723,-0.1311,0.0501,False
1,1,3,0.0029,1.0,-0.0877,0.0935,False
2,1,4,-0.1012,0.024,-0.1918,-0.0106,True
3,1,5,-0.0306,0.848,-0.1212,0.06,False
4,2,3,0.0434,0.6149,-0.0472,0.134,False
5,2,4,-0.0607,0.2998,-0.1513,0.0299,False
6,2,5,0.0099,0.9973,-0.0807,0.1005,False
7,3,4,-0.1041,0.0196,-0.1947,-0.0135,True
8,3,5,-0.0335,0.8019,-0.1241,0.0571,False
9,4,5,0.0706,0.1761,-0.02,0.1612,False
