,A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,talker
0,control,inter,0.09367914581694729,-0.24906518445273482,0.3427443302696821,0.10664075925591636,3.2140087210666297,0.018884939650323673,1.6808692784594055,1.0
1,control,intra,0.09367914581694729,-0.17032514490673192,0.2640042907236792,0.10664075925591636,2.475641514236804,0.06990275814846014,1.540789176989784,1.0
2,inter,intra,-0.24906518445273482,-0.17032514490673192,-0.0787400395460029,0.10664075925591636,-0.7383672068298262,0.7460765513612222,-0.42949597004183854,1.0
0,control,inter,-0.029743738085331317,0.004778257337813558,-0.03452199542314487,0.08206591744015229,-0.4206617862807726,0.9077962138746085,-0.21101768175472238,2.0
1,control,intra,-0.029743738085331317,0.04623591602644671,-0.07597965411177802,0.08206591744015229,-0.9258368940697853,0.6350514709377637,-0.6737796543450649,2.0
2,inter,intra,0.004778257337813558,0.04623591602644671,-0.04145765868863315,0.08206591744015229,-0.5051751077890128,0.8702353074334941,-0.2767885823820249,2.0
